JLA_name,OSC_name,Aliases,Host,OSC_RA,OSC_DEC,Host_RA,Host_DEC,global_u,global_g,global_r,global_i,global_z,global_u_err,global_g_err,global_r_err,global_i_err,global_z_err,SDSS_RA,SDSS_DEC,Flag,ZPEG_StMass,ZPEG_(Msol/an),ZPEG_Chi2/(nobs_tot-3),ZPEG_redshift,ZPEG_Age(Myr),Unnamed: 0,zcmb,zhel,dz,mb,dmb,x1,dx1,color,dcolor,3rdvar,d3rdvar,tmax,dtmax,cov_m_s,cov_m_c,cov_s_c,set,ra,dec,biascor
04D2fs,SNLS-04D2fs,SNLS-04D2fs,[AGR2006] J100022.11+014555.7,"10:00:22.086,10:00:22.110","+01:45:55.43,+01:45:55.430,+01:45:55.64,+01:45:55.70",00:22.1,+01:45:55.7,25.40823,22.02869,20.39388,19.45074,18.87512,0.7974488,0.08247528,0.03010023,0.02037806,0.04955108,150.0920035,1.764462926,OSC Host,3.52E+11,0.0,3.71,0.5,8000.0,228.0,0.35857,0.357,0.0,22.425017,0.086485,0.093895,0.10194,0.060514,0.025777,8.386,0.294,53107.698108,0.127774,0.000331,0.000522,-0.000332,1.0,150.092026,1.765398,-4.4e-05
04D2gb,SNLS-04D2gb,SNLS-04D2gb,SDSS J100222.66+015339.2,"10:02:22.668,10:02:22.712,10:02:22.676","+01:53:38.98,+01:53:38.980,+01:53:39.16,+01:53:39.34",02:22.7,+01:53:39.2,24.30202,23.50436,21.99321,21.28839,21.36639,0.8198013,0.2828017,0.1257259,0.1006675,0.4324302,150.5944483,1.894233965,OSC Host,1.60E+10,0.0,0.676,0.3,9000.0,218.0,0.451681,0.45,0.0,22.903257,0.088233,-1.587699,0.17313,0.028125,0.034468,10.246,0.09,53108.401364,0.207216,0.001046,0.000577,-0.000303,1.0,150.594449,1.894161,0.001422
04D2gc,SNLS-04D2gc,SNLS-04D2gc,[AGR2006] J100139.28+015259.3,"10:01:39.265,10:01:39.267,10:01:39.281","+01:52:58.99,+01:52:58.990,+01:52:59.52,+01:52:59.36",01:39.3,+01:52:59.3,22.36888,22.83809,22.18313,21.98877,21.94682,0.2560619,0.1879226,0.1724099,0.2484105,0.6638753,150.4135174,28.245286,,5.47E+09,2.6768802,1.18,0.6,5000.0,220.0,0.522762,0.521,0.0,23.329087,0.089115,1.140206,0.201606,0.018441,0.035678,9.326,0.2025,53118.117427,0.254157,0.001761,0.000408,-0.000301,1.0,150.413604,1.883052,0.00164
04D2gp,SNLS-04D2gp,SNLS-04D2gp,[AGR2006] J095920.40+023031.8,"09:59:20.373,09:59:20.400","+02:30:31.96,+02:30:31.960,+02:30:31.88",59:20.4,+02:30:31.8,24.92033,25.1424,23.45838,20.99858,20.69193,1.364129,0.9923295,0.6145957,0.1202186,0.3365701,149.8354358,2.509874765,OSC Host,2.92E+11,0.0,3.47,0.8,6000.0,236.0,0.733996,0.732,0.0,24.211821,0.1029,-1.352031,0.412599,-0.14094,0.08579,8.834,0.23,53110.4498,0.585038,0.007795,-0.001296,0.004435,1.0,149.834888,2.508879,-0.006398
04D2iu,SNLS-04D2iu,SNLS-04D2iu,[AGR2006] J100113.22+022453.9,"10:01:13.179,10:01:13.221","+02:24:54.18,+02:24:54.180,+02:24:53.91",01:13.2,+02:24:53.9,25.22222,25.66631,24.33815,22.09736,22.20923,0.7862084,0.5344865,0.6306058,0.1705404,0.4456683,150.3044586,36.22505388,,5.50E+10,0.0,2.5,0.7,6000.0,223.0,0.701965,0.7,0.0,24.226777,0.100028,-1.908278,0.419119,0.04058,0.085172,6.0,5.0,53120.735981,0.51681,0.008307,-0.000728,0.002177,1.0,150.304914,2.41505,-0.004263
04D2ja,SNLS-04D2ja,SNLS-04D2ja,[AGR2006] J095848.51+014618.6,"09:58:48.502,09:58:48.519","+01:46:18.25,+01:46:18.250,+01:46:18.64",58:48.5,+01:46:18.6,23.82991,24.51949,22.50798,21.2035,20.85033,0.9951853,0.7602552,0.250819,0.1163987,0.3560666,149.702076,1.771863019,OSC Host,1.60E+11,0.0,0.404,0.7,6000.0,240.0,0.742008,0.74,0.0,24.094212,0.103483,0.357631,0.400499,-0.201828,0.071427,10.991,0.0945,53123.200249,0.479119,0.011659,-0.001371,-0.002289,1.0,149.702091,1.771737,-0.00698
04D2kr,SNLS-04D2kr,SNLS-04D2kr,SDSS J100037.43+014243.7,00:37.3,"+01:42:42.94,+01:42:42.940",00:37.4,+01:42:43.7,22.3053,21.11563,20.11217,19.62442,19.33805,0.3908169,0.0585122,0.03697399,0.0355665,0.1182717,150.1559703,1.712148362,OSC Host,6.64E+09,0.0,1.99,0.1,11000.0,225.0,0.746118,0.7441,0.0,23.855911,0.095641,0.789091,0.314259,-0.024482,0.052863,6.0,5.0,53359.385247,0.421319,0.004924,6.5e-05,-0.000687,1.0,150.155592,1.711927,-0.007286
04D2mc,SNLS-04D2mc,SNLS-04D2mc,SDSS J100035.52+014703.1,00:35.5,"+01:47:03.05,+01:47:03.050",00:35.5,+01:47:03.1,26.04527,21.71876,19.90479,19.25734,18.91299,0.7316518,0.09016282,0.02888989,0.02460019,0.07493041,150.1480025,1.784209406,OSC Host,2.20E+11,0.0,18.4,0.4,8000.0,227.0,0.34956,0.348,0.0,22.510167,0.089792,-1.796939,0.126086,0.084647,0.030212,10.96,0.118,53367.17179,0.131533,0.002033,0.000889,0.000792,1.0,150.148125,1.784181,-0.000206
04D2mh,SNLS-04D2mh,SNLS-04D2mh,[NSB2006] J095945.87+020827.9,"09:59:45.888,09:59:45.872","+02:08:27.69,+02:08:27.690,+02:08:27.94",59:45.9,+02:08:27.9,23.19304,23.83241,23.50638,21.83871,22.6766,0.5893306,0.4528576,0.4707144,0.1638376,0.8198507,149.9423171,32.11641555,,4.45E+10,1.0105634,2.64,0.7,4500.0,230.0,0.591835,0.59,0.0,23.386183,0.090444,1.581016,0.1742,0.022525,0.033803,9.097,0.418,53376.33226,0.246305,0.001447,0.000514,0.00011,1.0,149.941201,2.141025,0.000574
04D2mj,SNLS-04D2mj,SNLS-04D2mj,[NSB2006] J100036.53+023437.4,"10:00:36.531,10:00:36.535","+02:34:37.44,+02:34:37.440",00:36.5,+02:34:37.4,23.68451,22.70574,21.91591,21.59004,21.74226,0.7820773,0.1690038,0.1270835,0.1528652,0.5921591,150.152267,2.577033586,OSC Host,5.69E+09,1.1538535,0.217,0.3,9000.0,226.0,0.514746,0.513,0.0,23.776721,0.090306,1.541433,0.225388,0.155788,0.03546,9.548,0.123,53374.439927,0.268534,0.002784,0.000699,0.000285,1.0,150.152215,2.577067,0.001675
