,JLA_name,OSC_name,Aliases,Host,RA,DEC,Host_RA,Host_DEC,global_u,global_g,global_r,global_i,global_z,global_u_err,global_g_err,global_r_err,global_i_err,global_z_err,SDSS_RA,SDSS_DEC,Flag,Unnamed: 0,zcmb,zhel,dz,mb,dmb,x1,dx1,color,dcolor,3rdvar,d3rdvar,tmax,dtmax,cov_m_s,cov_m_c,cov_s_c,set,ra,dec,biascor,ZPEG_StMass,ZPEG_SFR(Msol/an),ZPEG_Chi2/(nobs_tot-3),ZPEG_Redshift,ZPEG_Age(Myr)
23,SDSS13796,SN2006hl,"SN2006hl, SDSS-II SN 13796",SDSS J32246.06+003156.3,"23:22:46.080,23:22:46.08,23:22:45.84,23:22:45.98,23:22:45.979","+00:31:56.34,+00:31:58.37,+00:31:58.1,+00:31:58.379,+00:31:58.087,+00:31:58.4,+00:31:58.40","23:22:46.077,23:22:46.08,23:22:45,23:22:45.00","+00:31:56.341,+00:31:56.334,+00:31:58,+00:31:58.0",21.15505081,19.26363051,18.64658553,18.31784525,18.2259297,0.2550094,0.02281565,0.0203375,0.02513349,0.07796945,350.6920259,0.532350896,OSC Host,23,0.1436,0.145,0,19.837994,0.111766,0.789492,0.115818,-0.018978,0.022019,10.018,0.3445,54010.41205,0.116713,0.000606,0.000453,0.000159,2,-9.308426,0.532883,-0.001237,3.12E+10,4.6914127,1.59E+01,0.144,11000
24,SDSS13757,SN2006hk,"SN2006hk, SDSS-II SN 13757",A232029-0109,"23:20:29.54,23:20:29.52,23:20:29.539","-01:09:28.2,-01:09:28.26,-01:09:28.512,-01:09:28.19","23:20:29,23:20:29.00","-01:09:28,-01:09:28.0",22.24217342,23.70483995,22.32717415,21.78957519,21.36828764,0.4690126,0.727257,0.2905281,0.2617957,0.6704381,350.1235522,-1.15784832,OSC SN,24,0.28742,0.289,0,21.262819,0.118845,1.098936,0.42919,-0.166608,0.042413,5,10,53993.74989,0.633109,0.007656,0.001108,0.001103,2,-9.876911,-1.157847,-0.000219,4.99E+09,0.86821443,1.50E+00,0.287,10000
25,SDSS7147,SN2005jh,"SN2005jh, 2MASS J23200446-0003202, SDSS-II SN 7147",SDSS J32004.44-000320.1,"23:20:04.47,23:20:04.5,23:20:04.32,23:20:04.43,23:20:04.430","-00:03:20.2,-00:03:20,-00:03:19.728,-00:03:20.052,-00:03:19.6056,-00:03:20.0448,-00:03:19.7,-00:03:19.69","23:20:04.438,23:20:04.56,23:20:04,23:20:04.00","-00:03:20.098,-00:03:20.1683,-00:03:19,-00:03:19.0",20.51893782,18.94334185,18.00667008,17.58440579,17.20075743,0.1004511,0.0129458,0.008933298,0.008493949,0.02278436,350.0185434,-0.055607836,OSC Host,25,0.10924,0.1106,0,19.47415,0.112096,-1.914343,0.157266,-0.094807,0.023847,10.31,0.0225,53679.67031,0.136458,0.00039,0.000482,0.000279,2,-9.981533,-0.055446,-0.001176,5.41E+10,0,5.77E+00,0.109,9000
26,SDSS21861,SN2007sg,"SN2007sg, SDSS-II SN 21861",SDSS J31926.05-005407.8,"23:19:26.09,23:19:26.16","-00:54:05.9,-00:54:05.8968,-00:54:06.2388","23:19:26.16,23:19:26,23:19:26.00","-00:54:07.8228,-00:54:05,-00:54:05.0",23.9170315,21.93356928,22.23558813,21.30330793,21.1710558,1.188018,0.1077852,0.2282266,0.1474093,0.4549854,349.8588186,-0.902299828,OSC Host,26,0.18655,0.188,0,20.476939,0.121972,0.132373,0.869815,-0.025413,0.052755,9.648,0.443,54432.82018,0.920791,0.021423,0.001849,0.025472,2,-10.141306,-0.901638,-0.001042,2.15E+09,0.51674248,7.45E+00,0.187,8000
27,SDSS19757,SN2007oy,"SN2007oy, SDSS-II SN 19757",SDSS J31755.54+011325.0,17:55.4,"+01:13:25.1,+01:13:22.224,+01:13:21.9,+01:13:22.2","23:17:55.44,23:17:55,23:17:55.00","+01:13:25.032,+01:13:22,+01:13:22.0",23.48588312,22.23567324,20.74067994,20.42739413,20.30766292,1.12266,0.1455835,0.06361558,0.07776303,0.2437915,349.481422,1.223579495,OSC Host,27,0.40128,0.403,0,21.991848,0.134806,0.174516,0.891196,-0.10457,0.06138,10.274,0.4365,54400.46376,0.829436,0.053756,0.001884,0.027125,2,-10.518977,1.22284,-0.000692,7.82E+10,0,9.35E+00,0.401,6000
28,SDSS1371,SN2005fh,"SN2005fh, 2MASX J23172973+0025473, SDSS-II SN 1371",SDSS J31729.69+002546.8,"23:17:29.736,23:17:29.7,23:17:29.76,23:17:29.71,23:17:29.710","+00:25:47.30,+00:25:47,+00:25:45.8,+00:25:45.44,+00:25:45.782,+00:25:45.458,+00:25:45.80,+00:25:45.79","23:17:29.700,23:17:29.76,23:17:29,23:17:29.00","+00:25:46.826,+00:25:46.8804,+00:25:45,+00:25:45.0",20.27731043,18.4550908,17.46050871,17.00570622,16.62453099,0.07701176,0.009336374,0.006300419,0.006607271,0.01356475,349.3737681,0.429686537,OSC Host,28,0.11771,0.11909,0,19.052211,0.11196,0.789563,0.095852,-0.101397,0.02157,10.95,0.089,53633.31064,0.106019,0.000651,0.000459,8.50E-05,2,-10.626181,0.429384,-0.001214,1.34E+11,0,5.31E+00,0.118,12000
29,SDSS6422,SN2005id,"SN2005id, SDSS-II SN 6422",SDSS J31633.32-003948.4,"23:16:33.360,23:16:33.3,23:16:33.36,23:16:33.32,23:16:33.319","-00:39:48.13,-00:39:48,-00:39:47.592,-00:39:47.736,-00:39:47.6064,-00:39:47.7252,-00:39:47.5,-00:39:47.48","23:16:33.318,23:16:33.36,23:16:33,23:16:33.00","-00:39:48.132,-00:39:48.4848,-00:39:47,-00:39:47.0",21.13571948,21.02691591,20.2901622,20.17239758,19.7054001,0.3268858,0.09485893,0.06936567,0.08637401,0.2202179,349.138877,-0.663454369,OSC Host,29,0.18255,0.184,0,20.273166,0.112208,0.809261,0.210841,-0.105454,0.023744,9.398,0.266,53667.97817,0.258216,0.001223,0.000501,0.000354,2,-10.861195,-0.663224,-0.001069,6.79E+09,1.6302475,2.41E+00,0.183,8000
30,SDSS20227,SN2007qi,"SN2007qi, SDSS-II SN 20227",SDSS J31628.81-000556.1,"23:16:28.80,23:16:28.8","-00:05:56.1,-00:05:54.5892,-00:05:54.906,-00:05:54.6","23:16:28.8,23:16:28,23:16:28.00","-00:05:56.1271,-00:05:54,-00:05:54.0",24.06057625,20.71865173,19.59312263,19.11735583,18.90127277,1.780987,0.06001107,0.03197267,0.02879906,0.09100639,349.1200905,-0.098902031,OSC Host,30,0.28243,0.284,0,21.510915,0.11747,-1.29134,0.514908,-0.149793,0.046241,10.88,0.1025,54408.48473,0.533645,0.009084,0.000904,0.003745,2,-10.880007,-0.098497,-0.00025,1.05E+11,0,1.35E+01,0.282,7000
31,SDSS6192,SN2005jy,"SN2005jy, SDSS-II SN 6192",SDSS J31351.64+011526.2,"23:13:51.60,23:13:51.6,23:13:51.600","+01:15:25.2,+01:15:25,+01:15:25.164,+01:15:24.804,+01:15:25.20","23:13:51.6,23:13:51,23:13:51.00","+01:15:26.28,+01:15:25,+01:15:25.0",22.1175836,21.27184746,20.85143544,20.64764963,20.13442648,0.6428366,0.1065331,0.1221208,0.1480805,0.330506,348.4652719,1.257255608,OSC Host,31,0.27044,0.272,0,21.678524,0.118685,-1.94823,0.770704,-0.061742,0.048034,9.611,0.567,53672.82078,0.521548,0.018029,0.001103,0.008641,2,-11.535005,1.256988,-0.000335,9.10E+09,2.6158693,1.63E+00,0.27,7000
32,SDSS16211,SN2006nm,"SN2006nm, 2MASS J23123909+0015571, SDSS-II SN 16211",SDSS J31239.09+001557.5,"23:12:39.091,23:12:39.36,23:12:39.38,23:12:39.379","+00:15:57.18,+00:16:00.948,+00:16:00.444,+00:16:00.9552,+00:16:00.4476,+00:16:01.0,+00:16:00.98","23:12:39.12,23:12:39,23:12:39.00","+00:15:57.5676,+00:16:01,+00:16:01.0",21.56387554,19.99785279,18.32733274,17.79266311,17.44511309,0.5107945,0.04851367,0.01843716,0.01716916,0.04725524,348.1629186,0.265998657,OSC Host,32,0.30933,0.31094,0,22.130926,0.137464,-1.964016,0.625845,0.004445,0.070422,11.226,0.005,54041.48721,0.575672,0.033017,0.00228,0.008643,2,-11.83591,0.266932,-0.000115,5.28E+11,0,1.29E+01,0.309,9000
33,SDSS20084,SN2007pd,"SN2007pd, SDSS-II SN 20084",SDSS J31154.05-003440.5,"23:11:54.240,23:11:54,23:11:54.07","-00:34:44.61,-00:34:41.412,-00:34:41.1276,-00:34:41.4228,-00:34:41.1","23:11:54.353,23:11:54,23:11:54.00","-00:34:44.605,-00:34:40.5696,-00:34:41,-00:34:41.0",17.78013688,16.77014556,16.33565843,15.96525151,15.56299025,0.02816334,0.005843555,0.005669618,0.006028028,0.01496115,347.9764626,-0.579068499,OSC Host,33,0.12961,0.131,0,20.554137,0.113865,0.129042,0.276748,0.154984,0.02965,8.635,1.4775,54407.1529,0.252099,0.002812,0.000825,0.00193,2,-12.024707,-0.578091,-0.001241,1.67E+11,33.893435,1.82E+02,0.13,9000
