,JLA_name,zcmb,mb,x1,color,3rdvar
153,SDSS12779,0.07891,19.149702,-0.561485,0.096243,10.59
154,SDSS17605,0.14533,20.060753,0.715631,0.014894,10.704
155,SDSS14451,0.17789,20.15261,0.289199,-0.106929,9.886
156,SDSS6137,0.29888,21.522329,0.359245,-0.150995,5.0
157,SDSS12928,0.13868,19.897068,-0.55804,-0.064004,10.896
158,SDSS15171,0.13818,19.659001,0.680037,-0.078535,8.724
159,sn2006bq,0.021956,16.206993,-1.517685,0.049212,10.843
160,sn1998v,0.01745,15.122099,-0.177036,0.000164,11.003
161,sn2003u,0.028561,16.482973,-2.09037,-0.032596,10.657
162,sn2007ae,0.062961,17.798492,1.849266,-0.009638,11.32
163,sn2001az,0.040259,16.947362,1.203835,-0.061247,10.656
164,sn2002de,0.027748,16.657319,0.541542,0.09721,10.806
165,sn1999ac,0.01006,14.148421,0.202688,0.048593,9.917
166,sn1999cc,0.031764,16.789918,-1.609961,-0.00656,11.039
167,sn2006bt,0.031484,16.911564,0.265652,0.062851,11.381
168,sn2005ag,0.080103,18.471039,0.213846,-0.037391,10.902
169,04D3gt,0.451556,23.241924,-0.213624,0.191395,11.34
170,05D3dd,0.480568,22.948758,-0.207015,-0.029175,11.222
171,04D3nh,0.34052,22.137345,0.612333,-0.003747,9.356
172,04D3hn,0.552605,23.48813,-0.573944,0.073514,10.79
173,05D3kx,0.219462,20.852122,0.698942,-0.039907,10.63
174,05D3ci,0.515587,23.62109,2.120426,0.166871,10.011
175,05D3jq,0.5796,23.295137,1.48851,0.001938,8.832
176,04D3lu,0.822697,24.373493,-0.556579,-0.124503,11.111
177,05D3ne,0.169455,20.293205,-1.463743,-0.143152,11.133
178,03D3aw,0.449562,22.667126,0.810113,-0.085962,10.695
179,03D3bl,0.35582,22.926619,0.055758,0.204749,10.831
180,04D3oe,0.756687,24.054929,-1.003254,-0.2463,7.492
181,04D3ez,0.263487,21.66648,-1.082884,0.027124,10.29
182,05D3mq,0.246492,21.50567,-0.683772,-0.000463,10.723
183,05D3mh,0.670654,24.064257,0.57067,0.054159,10.078
184,04D3ny,0.81072,24.233543,-0.074816,-0.014984,10.032
185,03D3cd,0.461274,22.575127,1.861682,-0.043023,9.339
186,04D3fk,0.358336,22.515607,-0.386641,0.079161,10.189
187,04D3cy,0.643646,23.786478,-0.204658,-0.027514,9.98
188,03D3ay,0.371443,22.273052,0.569579,-0.054463,10.198
189,04D3co,0.620632,23.784306,-0.677025,-0.027937,9.517
190,04D3do,0.610643,23.559958,-0.830682,-0.118742,10.485
191,04D3kr,0.337534,21.966214,1.231534,-0.018647,9.287
192,03D3ba,0.291718,21.961068,0.760688,0.116118,10.211
193,sn1996c,0.030721,16.647115,0.65918,0.064364,10.309
194,sn2007f,0.02381,15.895501,0.618766,-0.055411,10.027
195,sn1998ab,0.027688,16.076604,-0.108805,0.039115,10.789
196,sn2004gu,0.046856,17.452691,1.333884,0.078323,10.225
197,sn2006s,0.033255,16.841219,0.970796,0.020955,10.45
198,sn1992p,0.027637,16.067616,0.743997,-0.093472,10.389
199,sn2006ac,0.023471,16.158253,-0.858068,0.024221,10.866
200,Patuxent,0.970782,25.020075,-0.10271,-0.218154,10.633
201,Elvis,0.839734,24.362709,-0.08164,-0.019546,10.626
202,sn1994s,0.015664,14.780119,0.222279,-0.0647,10.452
203,sn1994m,0.024951,16.311743,-1.525693,0.056784,11.038
204,sn2006cp,0.023321,16.024534,0.353158,0.096579,10.103
205,sn2005bg,0.024586,15.865712,0.396794,-0.032789,10.157
206,sn2006an,0.065193,18.095053,0.64572,-0.044607,7.989
207,sn2006az,0.031485,16.462073,-1.343413,-0.117484,11.314
208,sn2008bf,0.022068,15.71854,0.430639,-0.038367,11.212
209,sn2001v,0.015791,14.557266,0.916702,-0.038383,10.842
210,sn2007ci,0.018599,15.89331,-2.724319,0.026802,11.117
211,sn2004as,0.032538,17.000951,0.398948,0.073203,9.35
212,sn2007bc,0.021706,15.90219,-1.223772,-0.014061,10.814
213,sn2005ki,0.020396,15.541531,-1.388082,-0.096978,11.18
214,sn2006al,0.069122,18.394173,-1.408648,-0.119809,10.249
215,sn2006ar,0.02298,16.454585,-1.043223,0.082429,9.847
216,sn2004l,0.033173,17.370053,-0.986549,0.172665,10.446
217,sn2002bf,0.024746,16.341106,-0.791998,0.148436,10.603
218,04D2gb,0.451681,22.903257,-1.587699,0.028125,10.246
219,04D2cf,0.370586,22.462924,-0.861569,-0.014022,10.809
220,04D2gc,0.522762,23.329087,1.140206,0.018441,9.326
221,05D2ah,0.185371,20.758955,-0.075113,0.001222,9.21
222,06D2ck,0.553797,23.411247,0.012383,-0.031799,11.193
223,04D2iu,0.701965,24.226777,-1.908278,0.04058,6.0
224,05D2ie,0.349557,22.228291,-0.089736,-0.074922,9.287
225,04D2kr,0.746118,23.855911,0.789091,-0.024482,6.0
226,04D2mj,0.514746,23.776721,1.541433,0.155788,9.548
227,04D2mc,0.34956,22.510167,-1.796939,0.084647,10.96
228,04D2fs,0.35857,22.425017,0.093895,0.060514,8.386
229,05D2hc,0.35156,22.684908,-0.674399,0.037449,10.977
230,04D2mh,0.591835,23.386183,1.581016,0.022525,9.097
231,06D2fb,0.125298,19.752286,-0.356571,-0.019485,9.74
232,04D2fp,0.416632,22.546572,0.385152,-0.049753,10.235
233,06D2cc,0.533766,23.454678,-0.552437,0.081612,10.87
234,05D2ec,0.641893,23.677878,-0.210581,-0.103447,9.997
235,05D2cb,0.428646,23.396803,0.900599,0.158626,9.534
236,04D2gp,0.733996,24.211821,-1.352031,-0.14094,8.834
237,06D2ca,0.532765,23.313086,1.277665,0.048672,9.808
238,05D2fq,0.734996,24.000974,0.836161,-0.075547,10.875
239,05D2ac,0.480704,22.671051,1.123507,-0.054059,11.153
240,04D2ja,0.742008,24.094212,0.357631,-0.201828,10.991
241,sn2003w,0.020997,15.875946,0.07299,0.102214,10.619
242,sn2001fe,0.014575,14.66139,0.73797,-0.066355,10.193
243,sn2004gs,0.027499,17.152881,-1.806035,0.127063,11.079
244,sn2007bd,0.031638,16.58094,-1.380962,-0.047773,10.736
245,sn2001ep,0.013324,14.882717,-0.925188,0.047286,10.286
246,SDSS17280,0.13045,19.653248,-0.839375,-0.198044,10.785
247,SDSS15425,0.15935,19.907795,0.971182,-0.00611,10.398
248,SDSS2992,0.12608,20.042918,-0.969154,0.10647,9.881
249,SDSS18486,0.2454,20.753569,1.112899,-0.108783,5.0
250,SDSS14979,0.17653,20.178782,0.224801,-0.117703,9.807
251,SDSS17215,0.18079,20.579248,0.282892,0.015433,11.24
252,SDSS14871,0.11845,19.436663,1.29099,-0.046502,8.922
253,SDSS3377,0.24448,20.797565,1.038449,-0.080192,8.91
254,SDSS19596,0.29135,21.541949,0.639978,-0.04433,9.565
255,SDSS14108,0.13243,20.147341,0.248082,-0.000855,8.938
256,SDSS15213,0.30632,21.733825,-0.084184,-0.086541,10.901
257,SDSS20470,0.1244,19.953688,0.657385,0.044204,10.124
258,SDSS6057,0.06651,18.639629,-0.420885,0.108184,9.944
259,SDSS17784,0.03652,17.320514,-0.728272,0.060325,9.099
260,SDSS5391,0.30021,21.702057,0.260674,-0.031138,8.701
261,SDSS7512,0.21835,21.098936,0.501492,-0.002655,9.888
262,SDSS14157,0.21082,20.480731,1.125219,-0.058471,10.943
263,SDSS18809,0.12837,19.747603,-1.172856,-0.07694,10.933
264,SDSS2246,0.19422,20.982429,0.35042,0.071594,10.634
265,SDSS15443,0.18122,20.192003,1.560538,-0.041282,10.223
266,SDSS5395,0.11635,19.462745,1.193505,-0.015778,8.604
267,SDSS14284,0.18037,20.228837,-0.30878,-0.068514,10.514
268,SDSS18855,0.12715,19.700776,0.247941,-0.027883,10.246
269,SDSS18485,0.27822,21.278193,1.31567,-0.088149,10.63
270,SDSS21006,0.29021,21.340912,-0.094057,-0.124339,5.0
271,SDSS19702,0.26821,21.593672,-1.095858,-0.07291,9.986
272,sn2005eq,0.029086,16.284531,1.425425,-0.024106,10.552
273,SDSS1032,0.12903,20.336945,-2.528617,0.050506,10.456
274,SDSS18927,0.21323,21.240608,-0.590113,0.113055,10.489
275,SDSS2561,0.11741,19.784621,-0.082681,0.039633,10.574
276,SDSS6406,0.12376,19.60877,0.118662,-0.003543,10.528
277,SDSS1580,0.18322,20.272733,0.879572,-0.038487,11.198
278,SDSS17880,0.07195,18.984126,-0.923587,0.181137,10.07
279,SDSS16032,0.20318,20.758955,-0.819482,-0.10857,5.0
280,SDSS17332,0.18204,20.680621,-0.237165,0.036489,10.532
281,SDSS15584,0.28111,21.439311,0.314981,-0.044998,10.623
282,SDSS19353,0.15322,20.209017,0.894088,0.036376,10.731
283,SDSS2440,0.19215,20.644093,0.395729,-0.086867,10.194
284,SDSS19002,0.2671,21.206503,0.323447,-0.097382,10.459
285,SDSS12927,0.17415,20.351422,0.026059,0.014706,10.482
286,sn1995ak,0.022399,16.021035,-1.090886,0.074389,10.335397
287,SDSS13511,0.23646,21.461512,-1.553624,-0.095193,11.103
288,SDSS2372,0.17962,20.567619,0.279554,0.030383,10.119
289,SDSS19632,0.30702,21.831913,0.153977,-0.044536,10.803
290,SDSS15704,0.36397,22.059517,-0.04859,-0.17136,10.679
291,SDSS15440,0.25205,21.586693,-0.623735,0.065746,10.556
292,SDSS8046,0.25833,21.619985,0.243598,0.040716,11.196
293,SDSS13655,0.25104,21.936242,-1.339461,0.082437,10.996
294,sn1999dq,0.013533,14.381711,0.869173,0.026883,10.689
295,SDSS4577,0.36193,22.096096,0.320107,-0.062616,10.273
296,SDSS15868,0.24102,21.005963,0.328735,-0.140847,10.417
297,SDSS17497,0.14382,20.04551,0.911414,0.037728,10.129
298,SDSS19616,0.16455,20.24377,0.15196,-0.023369,11.215
299,04D1sa,0.583743,23.564276,-0.442871,-0.066413,10.623
300,04D1kj,0.583743,23.335798,0.218145,-0.062764,9.929
301,04D1rh,0.434861,22.556493,0.828369,-0.057039,9.888
302,04D1pg,0.513793,23.572554,0.985964,0.102976,9.808
303,03D1fq,0.798566,24.510389,-1.056666,-0.055975,10.651
304,SDSS15872,0.20203,20.556408,0.781434,-0.064131,9.304
305,03D1bp,0.345928,22.398137,-1.15511,-0.040581,10.821
306,03D1dt,0.610712,23.285241,-1.161563,-0.094943,9.715
307,04D1dc,0.210032,21.056779,-1.236256,-0.002674,10.635
308,04D1jg,0.582932,23.273246,0.265156,-0.104618,11.338
309,03D1fc,0.330932,21.861412,0.650394,-0.017577,10.391
310,04D1oh,0.588721,23.396414,-0.066782,-0.068922,9.17
311,03D1ax,0.494795,22.960139,-0.728837,-0.099683,11.58
312,03D1aw,0.580724,23.573937,0.974346,-0.025076,9.169
313,SDSS15161,0.2485,21.203185,-0.284969,-0.053995,10.744
314,SDSS17258,0.0901,18.818896,0.316969,0.027279,9.647
315,SDSS19818,0.29192,21.507747,1.181291,-0.005108,10.19
316,SDSS14735,0.30001,21.706687,-0.087397,0.032811,10.469
317,SDSS19990,0.24495,21.379199,-1.313715,-0.086373,10.306
318,SDSS5957,0.27852,21.447891,-0.186487,-0.121945,10.232
319,SDSS15219,0.24695,21.056951,-0.146222,-0.154043,10.809
320,SDSS6649,0.31288,21.594837,0.720911,-0.088234,8.394
321,SDSS2308,0.148,19.597186,0.675888,-0.181409,10.336
322,SDSS15421,0.18435,20.641715,0.174788,-0.043682,10.149
323,SDSS11067,0.11304,19.114133,1.733698,-0.072351,9.42
324,SDSS17825,0.15999,20.410888,-0.149097,0.006164,5.0
325,SDSS15776,0.31646,21.846724,-2.281762,-0.146321,10.899
326,SDSS15901,0.19794,20.774797,0.0302,-0.040623,9.669
327,SDSS19969,0.1742,20.50996,0.046786,0.016788,10.337
328,SDSS14421,0.17386,20.452267,-0.745633,-0.097808,11.26
329,SDSS17186,0.07849,19.240437,0.642723,0.111359,10.562
330,SDSS19149,0.19494,20.367563,1.179644,0.010582,9.536
331,SDSS19155,0.07592,18.228158,1.204471,-0.103885,10.732
332,SDSS2533,0.3388,21.773378,1.761054,-0.07667,9.382
333,SDSS4000,0.27745,21.898888,-1.042665,-0.012101,10.689
334,SDSS16165,0.15596,20.146078,0.344199,-0.032,5.0
335,SDSS17629,0.13588,20.059419,-0.347675,0.060305,11.041
336,SDSS16100,0.19392,21.065011,-0.393434,0.05151,9.122
337,SDSS22075,0.12893,19.928783,-1.682693,-0.031848,10.95
338,SDSS18787,0.19191,21.201846,0.145971,0.035637,10.829
339,SDSS21033,0.22786,21.000868,-0.793564,-0.08766,5.0
340,SDSS21034,0.10751,19.591919,0.01421,0.032201,10.73
341,sn2006ob,0.059289,18.195512,-2.365543,-0.044476,11.323
342,SDSS17884,0.23782,20.859375,0.664166,-0.124117,10.134
343,SDSS13354,0.15653,20.298025,1.040064,0.087963,10.648
344,SDSS13005,0.12593,19.89021,-0.332265,-0.012297,10.193
345,SDSS15508,0.13392,19.607858,0.882983,-0.059231,9.879
346,SDSS3317,0.15999,20.351465,-0.5222,0.020834,9.724
347,SDSS12898,0.07997,19.019822,-0.069349,0.070049,10.081
348,SDSS6304,0.18965,20.949871,-0.53757,0.068414,10.377
349,SDSS16099,0.1958,20.704275,2.030525,0.023292,10.365
350,SDSS17223,0.23381,20.863174,1.013494,-0.070271,5.0
351,SDSS20764,0.16387,20.274432,-1.407804,-0.105729,10.761
352,SDSS16619,0.11402,19.173326,-0.191925,-0.08585,8.332
353,SDSS20364,0.21382,21.110632,0.56921,0.034751,10.213
354,SDSS19174,0.16357,20.518238,-0.75325,0.056574,10.709
355,SDSS18804,0.19084,20.425403,0.947789,-0.045704,9.965
356,SDSS13506,0.24179,21.801057,-0.200116,0.138533,10.402
357,SDSS2689,0.16035,20.253587,1.391688,0.08052,11.15
358,SDSS16641,0.11389,19.719269,1.053347,0.039734,10.477
359,SDSS18091,0.37013,21.893176,-0.647918,-0.195436,11.162
360,SDSS20142,0.31468,21.289082,0.849074,-0.091687,8.777
361,SDSS5736,0.25174,21.405599,-0.217638,-0.008766,8.743
362,sn1999dk,0.01444,14.843842,-0.014266,0.049854,10.156
363,SDSS4679,0.33103,22.092013,0.953409,0.090984,8.479
364,sn2001en,0.015482,15.08025,-0.916368,0.001671,10.662
365,SDSS16618,0.19198,20.466522,-0.792727,-0.09709,9.907
366,SDSS17875,0.21075,21.022641,1.120316,-0.030671,10.533
367,SDSS16276,0.19176,20.740998,-0.018646,-0.026411,8.82
368,SDSS3087,0.1644,20.259822,0.522789,0.00595,9.373
369,SDSS17435,0.21674,20.709521,0.90173,-0.108869,8.005
370,sn2002jy,0.021541,15.7472,0.977375,-0.035146,10.587
371,sn2005ir,0.07487,18.411792,0.684284,-0.013661,10.182
372,SDSS3592,0.08528,18.765187,-0.145167,-0.043103,10.395
373,SDSS14279,0.04428,17.546294,-0.162447,0.090515,10.513
374,SDSS18298,0.11863,20.541778,-2.724252,0.255113,10.684
375,SDSS5717,0.25037,21.337855,1.417706,-0.029844,9.042
376,SDSS15057,0.29762,21.845816,-2.48499,-0.058957,9.519
377,SDSS10028,0.064229,18.347945,-1.201799,0.01006,10.531
378,SDSS2943,0.26405,21.371914,0.531823,-0.02857,8.822
379,SDSS18463,0.26665,21.322503,0.941316,-0.043687,10.406
380,SDSS13578,0.22668,21.06808,-0.245891,-0.040327,8.902
381,SDSS18768,0.19671,20.998833,-0.446422,-0.030251,9.567
382,SDSS16232,0.36554,22.13649,-0.145799,-0.111398,10.504
383,SDSS2165,0.28662,21.604938,0.477722,-0.121457,9.203
384,SDSS15234,0.13508,20.461573,0.90023,0.12776,10.399
385,SDSS3080,0.17374,20.242601,0.120044,-0.049739,10.71
386,SDSS16185,0.09582,19.773444,-2.309599,0.069933,9.507
387,SDSS18740,0.15575,20.174029,-0.034977,0.024848,10.454
388,sn2000dk,0.017483,15.364415,-2.112751,-0.026834,10.476629
389,SDSS20687,0.18772,21.111734,-0.570147,0.148525,10.772
390,SDSS19341,0.22667,21.43872,-1.54953,0.033312,10.711
391,SDSS15203,0.21468,20.730053,1.114217,-0.024767,10.047
392,SDSS762,0.1901,20.632628,1.125919,-0.038817,10.957
393,SDSS15433,0.21976,20.943822,-0.088272,-0.067736,10.585
394,SDSS3901,0.062818,18.039954,1.183262,0.041002,9.74
395,sn2006nz,0.03695,18.130272,-2.862959,0.22881,5.0
396,SDSS16021,0.12276,19.61767,-0.34698,-0.038204,9.842
397,SDSS12977,0.24562,21.151867,0.070492,-0.048348,9.565
398,SDSS18965,0.20466,20.719102,-0.639717,-0.111895,10.443
399,SDSS20088,0.24352,20.934675,-0.24094,-0.162186,10.944
400,SDSS18749,0.18667,21.077159,-1.441241,0.065591,10.876
401,SDSS18612,0.11368,19.674591,-0.734703,0.060165,10.764
402,SDSS4241,0.33051,21.962505,0.244648,-0.056394,8.717
403,SDSS15897,0.16869,20.889914,-2.457456,0.015791,10.655
404,sn2006mo,0.036969,17.409901,-2.128216,0.007758,10.925
405,SDSS5751,0.12953,20.11706,0.678679,0.146762,10.414
406,SDSS21669,0.12281,19.555089,-1.341157,-0.079528,11.407
407,SDSS18375,0.10725,19.337775,0.163568,0.066199,10.139
408,SDSS6933,0.21163,20.83092,0.076743,-0.019791,8.975
409,SDSS18697,0.10602,19.224685,0.749838,-0.002746,10.69
